Course, Successor
5 Credits English Composition,General Education Requirements
5 Credits Additional Writing,5 More Credits Additional Writing
5 More Credits Additional Writing,General Education Requirements
5 Credits Reasoning,General Education Requirements
5 Credits Diversity,General Education Requirements
5 Credits Arts and Humanities,5 More Credits Arts and Humanities
5 More Credits Arts and Humanities,General Education Requirements
5 Credits Social Sciences,5 More Credits Social Sciences
5 More Credits Social Sciences,General Education Requirements
TMATH 124,General Education Requirements
TMATH 125,General Education Requirements
TMATH 126,General Education Requirements
1st Lab Based Science Course,2nd Lab Based Science Course
2nd Lab Based Science Course,General Education Requirements
TCSS 142,General Education Requirements
TCSS 143,General Education Requirements
Additional lab based science or an additional 300- or 400-level math course,General Education Requirements
TMATH 124,TMATH 125
TMATH 125,TMATH 126
TCSS 142,TCSS 143
